CASEID,YEAR,VERSION,COMPWT,SEX,AGE,RACE,SRCBELT,RELIG,RELIG16,DENOM16,PARELIG,PARELKID,MARELIG,MARELKID,SPREL,EDUC,SEI,INCOME,RINCOME,INTRHOME,COMPUSE,WEBMOB,WEBTV,EMAILHR,EMAILMIN,USEWWW,WWWHR,WWWMIN
38117,2000,4,1.10000000000000009e+00,1,26,1,3, 1, 1,14,0,0,0,0, 0,16,45.7,99, 8,0,1,0,0,  2, 0,1,  5, 0
38118,2000,6,5.50000000000000044e-01,2,48,1,3, 1, 2, 0,0,0,0,0, 0,15,38.4, 8, 8,0,1,0,0,  0, 0,2, -1,-1
38119,2000,5,5.50000000000000044e-01,2,67,1,3, 1, 4, 0,0,0,0,0, 0,13,-1.0,10, 0,0,2,0,2, -1,-1,0, -1,-1
38120,2000,2,5.50000000000000044e-01,2,39,1,3,10, 1,14,0,0,0,0, 0,14,37.5,12, 0,0,1,0,0,  3, 0,1,  2, 0
38121,2000,2,5.50000000000000044e-01,2,25,1,3, 4, 4, 0,0,0,0,0, 0,14,64.0,12, 0,0,1,0,0, 15, 0,1,  1, 0
38122,2000,3,1.10000000000000009e+00,2,25,1,3, 1, 4, 0,0,0,0,0, 0,12,36.5,99,11,0,0,0,0, -1,-1,0, -1,-1
38123,2000,1,5.50000000000000044e-01,1,36,1,3,11, 1,22,0,0,0,0, 0,14,48.6,12,12,0,1,0,0,  1,30,1,  0, 1
38124,2000,3,5.50000000000000044e-01,2,44,1,3, 1, 1,14,0,0,0,0, 0,14,66.1,11, 7,0,0,0,0, -1,-1,0, -1,-1
38125,2000,5,1.64999999999999991e+00,1,44,1,1, 1, 1,60,0,0,0,0, 0,18,63.5,12,12,0,1,0,0,  3, 0,1,  1,30
38126,2000,2,1.10000000000000009e+00,1,47,1,1, 1, 1,14,0,0,0,0, 0,16,76.4,12,12,0,1,0,0,  0,10,1,  0,15
38127,2000,2,1.10000000000000009e+00,2,53,1,1, 1, 2, 0,0,0,0,0, 0,18,85.1,12,12,0,1,0,0, 10, 0,1,  5, 0
