Time,Name,Nationality,Date,Event,Source,Notes
marathon,male
2:55:18,Johnny Hayes, United States,7/24/1908,London,IAAF[36],"Time was officially recorded as 2:55:18 2/5.[38] Italian Dorando Pietri finished in 2:54:46.4, but was disqualified for receiving assistance from race officials near the finish.[39] Note.[40]"
2:52:45,Robert Fowler, United States,1/1/1909,"Yonkers[nb 5], United States",IAAF[36],Note.[40]
2:46:52,James Clark, United States,2/12/1909,"New York City, United States",IAAF[36],Note.[40]
2:46:04,Albert Raines, United States,5/8/1909,"New York City, United States",IAAF[36],Note.[40]
2:42:31,Henry Barrett, United Kingdom,5/26/1909,Polytechnic Marathon,IAAF[36],Note.[40]
2:40:34,Thure Johansson, Sweden,8/31/1909,"Stockholm, Sweden",IAAF[36],Note.[40]
2:38:16,Harry Green, United Kingdom,5/12/1913,Polytechnic Marathon,IAAF[36],Note.[44]
2:36:06,Alexis Ahlgren, Sweden,5/31/1913,Polytechnic Marathon,IAAF[36],Report in The Times claiming world record.[45] Note.[44]
2:32:35,Hannes Kolehmainen, Finland,8/22/1920,"Antwerp, Belgium",IAAF[36],"The course distance was officially reported to be 42,750 meters/26.56 miles,[46] however, the Association of Road Racing Statisticians estimated the course to be 40 km.[14]"
2:29:01,Albert Michelsen, United States,10/12/1925,"Port Chester, United States",IAAF[36],Note.[47]
2:30:57,Harry Payne, United Kingdom,7/5/1929,London,ARRS[37]
2:26:14,Son Kitei, Empire of Japan[48],3/21/1935,"Tokyo, Japan",ARRS[37]
2:27:49,Fusashige Suzuki, Empire of Japan,3/31/1935,"Tokyo, Japan",IAAF[36],"According to the Association of Road Racing Statisticians, Suzuki's 2:27:49 performance occurred in Tokyo on March 21, 1935 during a race in which he finished second to Sohn Kee-chung (sometimes referred to as Kee-Jung Sohn or Son Kitei) who ran a 2:26:14.[49]"
2:26:44,Yasuo Ikenaka, Empire of Japan,4/3/1935,"Tokyo, Japan",IAAF[36],Note.[50]
2:26:42,Son Kitei, Empire of Japan[48],11/3/1935,"Tokyo, Japan",IAAF[36],Note.[50]
2:25:39,Suh Yun-bok, South Korea,4/19/1947,Boston Marathon,IAAF[36],Disputed (short course).[51] Disputed (point-to-point).[52] Note.[53]
2:20:42,Jim Peters, United Kingdom,6/14/1952,Polytechnic Marathon,"IAAF,[36] ARRS[37]",MarathonGuide.com states that the course that was slightly long.[54] Report in The Times claiming world record.[55]
2:18:40,Jim Peters, United Kingdom,6/13/1953,Polytechnic Marathon,"IAAF,[36] ARRS[37]",Report in The Times claiming world record.[55]
2:18:34,Jim Peters, United Kingdom,10/4/1953,Turku Marathon,"IAAF,[36] ARRS[37]"
2:17:39,Jim Peters, United Kingdom,6/26/1954,Polytechnic Marathon,IAAF[36],Point-to-point course.[citation needed] Report in The Times claiming world record.[56]
2:18:05,Paavo Kotila, Finland,8/12/1956,"Pieksämäki, Finland",ARRS[37]
2:15:17,Sergei Popov, Soviet Union,8/24/1958,"Stockholm, Sweden","IAAF,[36] ARRS[37]"
2:15:16,Abebe Bikila, Ethiopia,9/10/1960,"Rome, Italy","IAAF,[36] ARRS[37]"
2:15:15,Toru Terasawa, Japan,2/17/1963,Beppu-Ōita Marathon,"IAAF,[36] ARRS[37]"
2:14:28,Leonard Edelen, United States,6/15/1963,Polytechnic Marathon,IAAF[36],Point-to-point course.[citation needed] Report in The Times claiming world record and stating that the course may have been long.[57]
2:14:43,Brian Kilby, United Kingdom,7/6/1963,"Port Talbot, Wales",ARRS[37]
2:13:55,Basil Heatley, United Kingdom,6/13/1964,Polytechnic Marathon,IAAF[36],Point-to-point course.[citation needed] Report in The Times claiming world record.[58]
2:12:12,Abebe Bikila, Ethiopia,10/21/1964,"Tokyo, Japan","IAAF,[36] ARRS[37]"
2:12:00,Morio Shigematsu, Japan,6/12/1965,Polytechnic Marathon,IAAF[36],Point-to-point course.[citation needed] Report in The Times claiming world record.[59]
2:09:36,Derek Clayton, Australia,12/3/1967,Fukuoka Marathon,"IAAF,[36] ARRS[37]"
2:08:33,Derek Clayton, Australia,5/30/1969,"Antwerp, Belgium",IAAF[36],Disputed (short course).[60]
2:09:28,Ron Hill, United Kingdom,7/23/1970,"Edinburgh, Scotland",ARRS[37]
2:09:12,Ian Thompson, United Kingdom,1/31/1974,"Christchurch, New Zealand",ARRS[37]
2:09:06,Shigeru So, Japan,2/5/1978,Beppu-Ōita Marathon,ARRS[37]
2:09:01,Gerard Nijboer, Netherlands,4/26/1980,Amsterdam Marathon,ARRS[37]
2:08:18,Robert De Castella, Australia,12/6/1981,Fukuoka Marathon,"IAAF,[36] ARRS[37]"
2:08:05,Steve Jones, United Kingdom,10/21/1984,Chicago Marathon,"IAAF,[36] ARRS[37]"
2:07:12,Carlos Lopes, Portugal,4/20/1985,Rotterdam Marathon,"IAAF,[36] ARRS[37]"
2:06:50,Belayneh Dinsamo, Ethiopia,4/17/1988,Rotterdam Marathon,"IAAF,[36] ARRS[37]"
2:06:05,Ronaldo da Costa, Brazil,9/20/1998,Berlin Marathon,"IAAF,[36] ARRS[37]"
2:05:42,Khalid Khannouchi, Morocco,10/24/1999,Chicago Marathon,"IAAF,[36] ARRS[37]"
2:05:38,Khalid Khannouchi, United States,4/14/2002,London Marathon,"IAAF,[36] ARRS[37]","First ""World's Best"" recognized by the International Association of Athletics Federations.[61]"
2:04:55,Paul Tergat, Kenya,9/28/2003,Berlin Marathon,"IAAF,[36] ARRS[37]",First world record for the men's marathon ratified by the International Association of Athletics Federations.[62]
2:04:26,Haile Gebrselassie, Ethiopia,9/30/2007,Berlin Marathon,"IAAF,[36] ARRS[37]"
2:03:59,Haile Gebrselassie, Ethiopia,9/28/2008,Berlin Marathon,"IAAF,[36] ARRS[37]"

marathon ,female
3:40:22,Violet Piercy, United Kingdom,10/3/1926,London [nb 7],"IAAF,[36] ARRS[37]"
3:37:07,Merry Lepper, United States,"December 16, 1963[nb 8]","Culver City, United States",IAAF[36],Disputed (short course).[68]
3:27:45,Dale Greig, United Kingdom,5/23/1964,Ryde,"IAAF,[36] ARRS[37]"
3:19:33,Mildred Sampson, New Zealand,"July 21, 1964[nb 9]","Auckland, New Zealand",IAAF[36],Disputed (time trial).[72][73]
3:15:23,Maureen Wilton, Canada,5/6/1967,"Toronto, Canada","IAAF,[36] ARRS[37]"
3:07:27,Anni Pede-Erdkamp, West Germany,9/16/1967,"Waldniel, West Germany","IAAF,[36] ARRS[37]"
3:02:53,Caroline Walker, United States,2/28/1970,"Seaside, OR","IAAF,[36] ARRS[37]"
3:01:42,Elizabeth Bonner, United States,5/9/1971,"Philadelphia, United States","IAAF,[36] ARRS[37]"
2:55:22,Elizabeth Bonner, United States,9/19/1971,New York City Marathon,"IAAF,[36] ARRS[37]"
2:49:40,Cheryl Bridges, United States,12/5/1971,"Culver City, United States","IAAF,[36] ARRS[37]"
2:46:36,Michiko Gorman, United States,12/2/1973,"Culver City, United States","IAAF,[36] ARRS[37]"
2:46:24,Chantal Langlacé, France,10/27/1974,"Neuf-Brisach, France","IAAF,[36] ARRS[37]"
2:43:54,Jacqueline Hansen, United States,12/1/1974,"Culver City, United States","IAAF,[36] ARRS[37]"
2:42:24,Liane Winter, West Germany,4/21/1975,Boston Marathon,IAAF[36],Disputed (point-to-point).[52]
2:40:15,Christa Vahlensieck, West Germany,5/3/1975,Dülmen,"IAAF,[36] ARRS[37]"
2:38:19,Jacqueline Hansen, United States,10/12/1975,"Eugene, United States","IAAF,[36] ARRS[37]"
2:35:15,Chantal Langlacé, France,5/1/1977,"Oiartzun, Spain",IAAF[36]
2:34:47,Christa Vahlensieck, West Germany,9/10/1977,Berlin Marathon,"IAAF,[36] ARRS[37]"
2:32:29,Grete Waitz, Norway,10/22/1978,New York City Marathon,IAAF[36],Disputed (short course).[33][74]
2:27:32,Grete Waitz, Norway,10/21/1979,New York City Marathon,IAAF[36],Disputed (short course).[33][75]
2:31:23,Joan Benoit, United States,2/3/1980,"Auckland, New Zealand",ARRS[37]
2:30:58,Patti Catalano, United States,9/6/1980,"Montreal, Canada",ARRS[37]
2:25:41,Grete Waitz, Norway,10/26/1980,New York City Marathon,IAAF[36],Disputed (short course).[33][76]
2:30:27,Joyce Smith, United Kingdom,11/16/1980,"Tokyo, Japan",ARRS[37]
2:29:57,Joyce Smith, United Kingdom,3/29/1981,London Marathon,ARRS[37]
2:29:02,Charlotte Teske, West Germany,1/16/1982,"Miami, United States",ARRS[37]
2:26:12,Joan Benoit, United States,9/12/1982,"Eugene, United States",ARRS[37]
2:25:28,Grete Waitz, Norway,4/17/1983,London Marathon,"IAAF,[36] ARRS[37]"
2:22:43,Joan Benoit, United States,4/18/1983,Boston Marathon,IAAF[36],Disputed (point-to-point).[52]
2:24:26,Ingrid Kristiansen, Norway,5/13/1984,London Marathon,ARRS[37]
2:21:06,Ingrid Kristiansen, Norway,4/21/1985,London Marathon,"IAAF,[36] ARRS[37]"
2:20:47,Tegla Loroupe, Kenya,4/19/1998,Rotterdam Marathon,"IAAF,[36] ARRS[37]"
2:20:43,Tegla Loroupe, Kenya,9/26/1999,Berlin Marathon,"IAAF,[36] ARRS[37]"
2:19:46,Naoko Takahashi, Japan,9/30/2001,Berlin Marathon,"IAAF,[36] ARRS[37]"
2:18:47,Catherine Ndereba, Kenya,10/7/2001,Chicago Marathon,"IAAF,[36] ARRS[37]"
2:17:18,Paula Radcliffe, United Kingdom,10/13/2002,Chicago Marathon,"IAAF,[36] ARRS[37]","First ""World's Best"" recognized by the International Association of Athletics Federations.[61]"
2:15:25,Paula Radcliffe, United Kingdom,4/13/2003,London Marathon,"IAAF,[36] ARRS[37]",First world record for the women's marathon ratified by the International Association of Athletics Federations.[77]

half marathon,male
62:37:00,Toshihiro Matsumoto, Japan,2/6/1977,Beppu
62:36:00,Nick Rose, United Kingdom,10/14/1979,"Dayton, USA"
62:32:00,Kirk Pfeffer, United States,12/7/1979,"Las Vegas, USA"
62:16:00,Stan Mavis, United States,1/27/1980,"New Orleans, USA"
61:47:00,Herb Lindsay, United States,9/20/1981,"Manchester, USA"
61:36:00,Mike Musyoki, Kenya,9/19/1982,"Philadelphia, USA"
61:32:00,Paul Cummings, United States,9/25/1983,"Dayton, USA"
61:14:00,Steve Jones, United Kingdom,8/11/1985,"Birmingham, GBR"
60:55:00,Mark Curp, United States,9/15/1985,"Philadelphia, USA"
60:46:00,Dionicio Cerón, Mexico,9/16/1990,"Philadelphia, USA"
60:24:00,Benson Masya, Kenya,4/3/1993,The Hague
60:13:00,Paul Tergat, Kenya,4/15/1993,"Milan, ITA"
59:56:00,Shem Kororia, Kenya,10/4/1997,Kosice
59:17:00,Paul Tergat, Kenya,4/4/1998,"Milan, ITA"
59:16:00,Samuel Wanjiru, Kenya,9/11/2005,"Rotterdam, NED"
58:55:00,Haile Gebrselassie, Ethiopia,1/15/2006,Tempe
58:53:00,Samuel Wanjiru, Kenya,2/17/2007,"Ras al-Khaimah, UAE"
58:35:00,Samuel Wanjiru, Kenya,3/17/2007,"The Hague, NED"
58:23:00,Zersenay Tadese, Eritrea,3/21/2010,"Lisbon, POR"

half marathon,female
77:48:00,Daniele Justin, Belgium,11/12/1978,"Nazaré, POR"
75:58:00,Michiko Gorman, United States,11/19/1978,"Pasadena, USA"
75:01:00,Ellison Goodall, United States,3/10/1979,"Winston-Salem, USA"
74:03:00,Patti Catalano, United States,9/29/1979,"Manchester, USA"
73:59:00,Marja Wokke, Netherlands,3/29/1980,"The Hague, NED"
73:26:00,Joan Benoit, United States,1/18/1981,"New Orleans, USA"
71:16:00,Joan Benoit, United States,3/7/1981,"San Diego, USA"
69:57:00,Grete Waitz, Norway,5/15/1982,"Gothenburg, SWE"
69:10:00,Joan Benoit, United States,9/18/1983,"Philadelphia, USA"
68:34:00,Joan Benoit, United States,9/16/1984,"Philadelphia, USA"
66:40:00,Ingrid Kristiansen, Norway,4/5/1987,Sandnes
66:25:00,Lornah Kiplagat, Netherlands,10/14/2007,"Udine, ITA"
65:50:00,Mary Keitany, Kenya,2/18/2011,"Ras Al Khaimah, UAE"

10000m,male
30:58.8, Jean Bouin (FRA),,11/16/1911,"Paris, France[4]"
30:40.2, Paavo Nurmi (FIN),,6/22/1921,"Stockholm, Sweden[4]"
30:35.4, Ville Ritola (FIN),,5/25/1924,"Helsinki, Finland[4]"
30:23.2, Ville Ritola (FIN),,7/6/1924,"Paris, France[4]"
30:06.2, Paavo Nurmi (FIN),,8/31/1924,"Kuopio, Finland[4]"
30:05.6, Ilmari Salminen (FIN),,7/18/1937,"Kouvola, Finland[4]"
30:02.0, Taisto Maki (FIN),,9/29/1938,"Tampere, Finland[4]"
29:52.6, Taisto Maki (FIN),,9/17/1939,"Helsinki, Finland[4]"
29:35.4, Viljo Heino (FIN),,8/25/1944,"Helsinki, Finland[4]"
29:28.2, Emil Zátopek (CZE),,6/11/1949,"Ostrava, Czech Republic[4]"
29:27.2, Viljo Heino (FIN),,9/1/1949,"Kouvola, Finland[4]"
29:21.2, Emil Zátopek (CZE),,10/22/1949,"Ostrava, Czech Republic[4]"
29:02.6, Emil Zátopek (CZE),,8/4/1950,"Turku, Finland[4]"
29:01.6, Emil Zátopek (CZE),,11/1/1953,"Stara Boleslav, Czech Republic[4]"
28:54.2, Emil Zátopek (CZE),,6/1/1954,"Brussels, Belgium[4]"
28:42.8, Sandor Iharos (HUN),,7/15/1956,"Budapest, Hungary[4]"
28:30.4, Vladimir Kuts (URS),,9/11/1956,"Moscow, Russia[4]"
28:18.8, Pyotr Bolotnikov (URS),,10/15/1960,"Kiev, Ukraine[4]"
28:18.2, Pyotr Bolotnikov (URS),,8/11/1962,"Moscow, Russia[4]"
28:15.6, Ron Clarke (AUS),,12/18/1963,"Melbourne, Australia[4]"
27:39.4, Ron Clarke (AUS),,7/14/1965,"Oslo, Norway[4]"
27:38.4, Lasse Virén (FIN),,9/3/1972,"Munich, Germany[4]"
27:30.8, David Bedford (GBR),,7/13/1973,"London, Great Britain[4]"
27:30.5, Samson Kimobwa (KEN),,6/30/1977,"Helsinki, Finland[4]"
27:22.4, Henry Rono (KEN),,6/11/1978,"Vienna, Austria[4]"
27:13.81, Fernando Mamede (POR),,7/2/1984,"Stockholm, Sweden[4]"
27:08.23, Arturo Barrios (MEX),,8/18/1989,"Berlin, Germany[4]"
27:07.91, Richard Chelimo (KEN),,7/5/1993,"Stockholm, Sweden[4]"
26:58.38, Yobes Ondieki (KEN),,7/10/1993,"Oslo, Norway[4]"
26:52.23, William Sigei (KEN),,7/22/1994,"Oslo, Norway[4]"
26:43.53, Haile Gebrselassie (ETH),,6/5/1995,"Hengelo, Netherlands[4]"
26:38.08, Salah Hissou (MAR),,8/23/1996,"Brussels, Belgium[4]"
26:31.32, Haile Gebrselassie (ETH),,8/4/1997,"Oslo, Norway[4]"
26:27.85, Paul Tergat (KEN),,8/22/1997,"Brussels, Belgium[4]"
26:22.75, Haile Gebrselassie (ETH),,6/1/1998,"Hengelo, Netherlands[4]"
26:20.31, Kenenisa Bekele (ETH),,6/8/2004,"Ostrava, Czech Republic[4]"
26:17.53, Kenenisa Bekele (ETH),,8/26/2005,"Brussels, Belgium[4"

10000m,female
32:17.20, Yelena Sipatova (URS),,10/19/1981,"Moscow, Russia[5]"
31:35.3, Mary Decker-Slaney (USA),,7/16/1982,"Eugene, USA[5]"
31:35.01, Lyudmila Bragina (URS),,5/29/1983,"Krasnodar, Russia[5]"
31:27.58, Raisa Sadreydinova (URS),,9/7/1983,"Odessa, Ukraine[5]"
31:13.78, Olga Bondarenko (URS),,6/24/1984,"Kiev, Ukraine[5]"
30:59.42, Ingrid Kristiansen (NOR),,7/27/1985,"Oslo, Norway[5]"
30:13.74, Ingrid Kristiansen (NOR),,7/5/1986,"Oslo, Norway[5]"
29:31.78, Wang Junxia (CHN),,9/8/1993,"Beijing, PR China[5"

mile,male
4:14.4,John Paul Jones, United States,31 May 1913[4],"Allston, Mass."
4:12.6,Norman Taber, United States,16 July 1915[4],"Allston, Mass."
4:10.4,Paavo Nurmi, Finland,23 August 1923[4],Stockholm
4:09.2,Jules Ladoumègue, France,4 October 1931[4],Paris
4:07.6,Jack Lovelock, New Zealand,15 July 1933[4],"Princeton, N.J."
4:06.7,Glenn Cunningham, United States,16 June 1934[4],"Princeton, N.J."
4:06.4,Sydney Wooderson, United Kingdom,28 August 1937[4],Motspur Park
4:06.1,Gunder Hägg, Sweden,1 July 1942[4],Göteborg
4:06.2,Arne Andersson, Sweden,10 July 1942[4],Stockholm
4:04.6,Gunder Hägg, Sweden,4 September 1942[4],Stockholm
4:02.6,Arne Andersson, Sweden,1 July 1943[4],Göteborg
4:01.6,Arne Andersson, Sweden,18 July 1944[4],Malmö
4:01.3,Gunder Hägg, Sweden,17 July 1945[4],Malmö
3:59.4,Roger Bannister, United Kingdom,6 May 1954[4],Oxford
3:57.9,John Landy, Australia,21 June 1954[4],Turku
3:57.2,Derek Ibbotson, United Kingdom,19 July 1957[4],London
3:54.5,Herb Elliott, Australia,6 August 1958[4],"Santry, Dublin"
3:54.4,Peter Snell, New Zealand,27 January 1962[4],Wanganui
3:54.04,Peter Snell, New Zealand,17 November 1964[4],Auckland
3:53.6,Michel Jazy, France,9 June 1965[4],Rennes
3:51.3,Jim Ryun, United States,17 July 1966[4],"Berkeley, Cal."
3:51.1,Jim Ryun, United States,23 June 1967[4],"Bakersfield, Cal."
3:51.0,Filbert Bayi, Tanzania,17 May 1975[4],Kingston
3:49.4,John Walker, New Zealand,12 August 1975[4],Göteborg
3:48.95,Sebastian Coe, United Kingdom,17 July 1979[4],Oslo
3:48.8,Steve Ovett, United Kingdom,1 July 1980[4],Oslo
3:48.53,Sebastian Coe, United Kingdom,19 August 1981[4],Zürich
3:48.40,Steve Ovett, United Kingdom,26 August 1981[4],Koblenz
3:47.33,Sebastian Coe, United Kingdom,28 August 1981[4],Bruxelles
3:46.32,Steve Cram, United Kingdom,27 July 1985[4],Oslo
3:44.39,Noureddine Morceli, Algeria,5 September 1993[4],Rieti
3:43.13,Hicham El Guerrouj, Morocco,7 July 1999[4],Rome

mile,female
6:13.2,Elizabeth Atkinson, United Kingdom,6/24/1921,Manchester
5:27.5,Ruth Christmas, United Kingdom,8/20/1932,London
5:24.0,Gladys Lunn, United Kingdom,6/1/1936,Brentwood
5:23.0,Gladys Lunn, United Kingdom,7/18/1936,London
5:20.8,Gladys Lunn, United Kingdom,5/8/1937,Dudley
5:17.0,Gladys Lunn, United Kingdom,8/7/1937,London
5:15.3,Evelyn Forster, United Kingdom,7/22/1939,London
5:11.0,Anne Oliver, United Kingdom,6/14/1952,London
5:09.8,Enid Harding, United Kingdom,6/4/1953,London
5:08.0,Anne Oliver, United Kingdom,9/12/1953,Consett
5:02.6,Diane Leather, United Kingdom,9/30/1953,London
5:00.3,Edith Treybal, Romania,11/1/1953,Timisoara
5:00.2,Diane Leather, United Kingdom,5/26/1954,Birmingham
4:59.6,Diane Leather, United Kingdom,5/29/1954,Birmingham
4:50.8,Diane Leather, United Kingdom,5/24/1955,London
4:45.0,Diane Leather, United Kingdom,9/21/1955,London
4:41.4,Marise Chamberlain, New Zealand,12/8/1962,Perth
4:39.2,Anne Rosemary Smith, United Kingdom,5/13/1967,London

5000m,male
14:36.6, Hannes Kolehmainen (FIN),,6/10/1912,"Stockholm, Sweden[3]"
14:35.4, Paavo Nurmi (FIN),,9/12/1922,"Stockholm, Sweden[3]"
14:28.2, Paavo Nurmi (FIN),,6/19/1924,"Helsinki, Finland[3]"
