CASEID,COMPWT,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID
21876,1.06000000000000005e+00, 3, 0,  0,3, 3, 0,  0,3,3, 0,  0,4,3,0,    0,3, 0,  0,4,3,0,    0
21877,1.06000000000000005e+00, 1,70,  0,2, 1,28,  0,3,1,28,  0,7,3,0,    0,4, 0,  0,0,3,0,    0
21878,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,0,2,0,    0,2, 0,  0,2,2,0,    0
21879,1.06000000000000005e+00, 1,70,  0,2, 1,22,  0,3,1,22,  0,7,3,0,    0,1,22,  0,7,3,0,    0
21880,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,2,2,0,    0,2, 0,  0,2,2,0,    0
21881,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,2,2,0,    0,2, 0,  0,2,2,0,    0
21882,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,0,2,0,    0,2, 0,  0,0,2,0,    0
21883,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,3,2,0,    0,2, 0,  0,3,2,0,    0
21884,5.30000000000000027e-01, 3, 0,  0,3, 3, 0,  0,3,3, 0,  0,3,3,0,    0,3, 0,  0,3,3,0,    0
21885,5.30000000000000027e-01, 4, 0,  0,3, 1,60, 68,1,0, 0,  0, ,0,0,    0,1,60, 68,6,1,0,    0
21886,1.06000000000000005e+00, 1,15,  0,1, 1,15,  0,1,1,15,  0,7,1,0,    0,1,15,  0,7,1,0,    0
21887,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,4,2,0,    0,2, 0,  0,4,2,0,    0
21888,2.12999999999999989e+00, 1,60, 77,1, 1,18,  0,1,0, 0,  0, ,0,0,    0,1,60, 77,7,1,0,    0
21889,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,6,2,0,    0
21890,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,7,2,0,    0
21891,5.30000000000000027e-01, 1,60, 12,1, 1,60, 12,1,1,60, 12,8,1,0,    0,0, 0,  0, ,0,0,    0
21892,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,3,2,0,    0
21893,1.06000000000000005e+00, 5, 0,  0,9, 5, 0,  0,9,4, 0,  0,0,3,0,    0,2, 0,  0,0,2,0,    0
21894,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,0,2,0,    0,2, 0,  0,6,2,0,    0
21895,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0
21896,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0
21897,1.59000000000000008e+00, 4, 0,  0,3, 4, 0,  0,3,4, 0,  0,0,3,0,    0,4, 0,  0,0,3,0,    0
21898,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,4,2,0,    0
21899,1.06000000000000005e+00, 4, 0,  0,3, 2, 0,  0,2,2, 0,  0,2,2,0,    0,2, 0,  0,2,2,0,    0
21900,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,6,2,0,    0,2, 0,  0,7,2,0,    0
21901,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,0, 0,  0, ,0,0,    0
21902,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,2,2,0,    0,2, 0,  0,7,2,0,    0
21903,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,0,2,0,    0,2, 0,  0,7,2,0,    0
21904,1.06000000000000005e+00, 3, 0,  0,3, 3, 0,  0,3,3, 0,  0,6,3,0,    0,3, 0,  0,3,3,0,    0
21905,5.30000000000000027e-01, 4, 0,  0,3, 3, 0,  0,3,0, 0,  0, ,0,0,    0,3, 0,  0,1,3,0,    0
21906,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,6,2,0,    0,2, 0,  0,7,2,0,    0
21907,5.30000000000000027e-01, 1,18,  0,1, 1,18,  0,1,0, 0,  0, ,0,0,    0,1,18,  0,4,1,0,    0
21908,5.30000000000000027e-01, 4, 0,  0,3, 5, 0,  0,9,5, 0,  0,1,9,0,    0,5, 0,  0,1,9,0,    0
21909,1.59000000000000008e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,6,2,0,    0,2, 0,  0,6,2,0,    0
21910,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,0,2,0,    0,2, 0,  0,7,2,0,    0
